City,Latitude,Longitude,Temperature,% Humidity,% Cloudiness,Wind Speed
Tazovsky,67.4667,78.7,276.87,93,100,3.17
Richards Bay,-28.783,32.0377,294.48,92,100,3.6
Cherëmukhovo,60.3484,59.9851,277.06,86,6,2.86
Kapaa,22.0752,-159.319,301.75,70,0,3.09
Vao,-22.6667,167.4833,295.41,69,100,9.04
Isla Mujeres,21.2311,-86.731,302.18,70,100,4.06
Berlevåg,70.8578,29.0864,278.15,81,0,1.03
Sokolo,14.7328,-6.1219,306.49,26,63,2.56
Mount Isa,-20.7333,139.5,287.02,51,2,0.0
Cabo San Lucas,22.8909,-109.9124,307.76,55,0,3.6
Tasiilaq,65.6145,-37.6368,274.24,98,100,5.22
Buncrana,55.1333,-7.45,283.02,81,100,4.16
San Cristobal,7.7669,-72.225,300.25,52,100,3.05
Nanortalik,60.1432,-45.2371,276.48,89,100,3.36
Cidreira,-30.1811,-50.2056,287.65,81,100,6.32
Cairns,-16.9167,145.7667,297.12,86,7,4.12
Port-Gentil,-0.7193,8.7815,299.13,89,75,2.57
Bredasdorp,-34.5322,20.0403,291.41,66,94,2.35
Ranong,9.9658,98.6348,297.63,88,100,1.37
Bandarbeyla,9.4942,50.8122,298.43,89,88,5.96
Asău,46.4333,26.4,277.75,68,50,0.87
Staryy Nadym,65.6118,72.6842,277.02,86,93,6.46
Koumac,-20.5667,164.2833,297.21,72,100,2.7
Atambua,-9.1061,124.8925,296.98,84,90,1.16
Arraial do Cabo,-22.9661,-42.0278,297.07,83,40,2.06
Longyearbyen,78.2186,15.6401,274.06,75,75,2.57
Ancud,-41.8697,-73.8203,283.56,63,6,3.42
Kosh-Agach,50.0,88.6667,271.49,80,42,1.0
New Norfolk,-42.7826,147.0587,281.32,79,8,1.11
Ahipara,-35.1667,173.1667,288.65,73,62,1.88
Monrovia,6.3005,-10.7969,299.09,84,82,2.76
Tamandaré,-8.7597,-35.1047,298.47,75,40,4.29
Butaritari,3.0707,172.7902,300.91,73,98,6.31
Chui,-33.6971,-53.4616,286.58,55,6,4.08
Barabai,-2.5833,115.3833,296.07,99,100,0.63
Corrales,35.2378,-106.6067,294.92,48,75,4.12
Morgan City,29.6994,-91.2068,303.71,34,0,5.66
Mabaruma,8.2,-59.7833,303.1,63,50,2.93
Bambous Virieux,-20.3428,57.7575,294.38,77,60,5.51
Alice Springs,-23.7,133.8833,293.9,18,89,1.54
Yulara,-25.2406,130.9889,293.21,25,100,3.67
Lompoc,34.6391,-120.4579,298.71,84,100,5.14
Beringovskiy,63.05,179.3167,272.9,64,34,5.14
Cockburn Town,21.4612,-71.1419,301.66,74,23,8.04
Khatanga,71.9667,102.5,257.48,98,59,1.47
Bilibino,68.0546,166.4372,260.79,97,100,1.6
Bom Jesus,-9.0744,-44.3586,309.73,17,76,4.42
Shama,33.6102,104.2852,276.82,94,7,1.2
Mwinilunga,-11.7358,24.4293,292.83,25,7,2.24
Taoudenni,22.6783,-3.9836,308.05,18,39,4.12
Lang Son,21.8333,106.7333,288.33,74,11,1.66
Lebu,-37.6167,-73.65,284.32,72,3,9.27
Rome,43.2128,-75.4557,288.05,66,20,4.63
Buraidah,26.326,43.975,300.64,12,0,3.41
Avarua,-21.2078,-159.775,297.18,73,75,10.29
Puerto Ayora,-0.7393,-90.3518,298.13,85,59,3.58
Mossamedes,-15.1961,12.1522,293.31,86,48,5.34
Pevek,69.7008,170.3133,269.49,81,100,11.51
Ulaanbaatar,47.9077,106.8832,265.22,79,0,1.0
Yinchuan,38.4681,106.2731,281.79,16,0,2.17
Ishigaki,24.3448,124.1572,297.2,69,100,13.13
Ponta do Sol,32.6667,-17.1,297.04,78,58,3.47
Necochea,-38.5473,-58.7368,288.87,49,20,8.29
Hofn,64.2539,-15.2082,273.87,61,21,5.65
Goundam,16.4145,-3.6708,309.06,13,10,6.71
Chokurdakh,70.6333,147.9167,266.38,87,99,7.52
Raymondville,26.4815,-97.7831,305.21,41,16,6.8
Rawson,-43.3002,-65.1023,295.48,20,6,4.09
Zeya,53.75,127.2667,271.89,81,8,2.01
Walvis Bay,-22.9575,14.5053,288.76,85,97,1.31
San Ramon,37.7799,-121.978,301.27,55,0,2.57
Quatre Cocos,-20.2078,57.7625,294.31,76,52,5.11
Castro,-24.7911,-50.0119,287.52,96,100,4.2
Aklavik,68.2191,-135.0107,273.32,85,100,8.32
Kochki,54.3358,80.4806,280.68,69,98,6.55
Airai,-8.9266,125.4092,289.22,84,100,0.88
Yibin,28.7667,104.6238,287.73,89,100,0.31
Usinsk,65.9939,57.5281,277.73,81,100,10.17
Terre Haute,39.4667,-87.4139,298.83,37,40,3.6
Nosy Varika,-20.5833,48.5333,291.53,82,0,3.98
Diffa,13.3154,12.6113,303.26,25,1,2.75
Arica,-18.475,-70.3042,294.9,63,0,6.17
Qaqortoq,60.7167,-46.0333,275.22,97,100,5.3
Faanui,-16.4833,-151.75,298.85,75,23,8.05
Ballina,-28.8667,153.5667,288.03,99,85,5.41
Camargo,27.6667,-105.1667,298.83,41,0,4.6
Manggar,-2.8833,108.2667,297.26,93,100,1.21
Acajutla,13.5928,-89.8275,297.98,91,100,4.29
Betong,5.7743,101.0723,295.15,99,95,0.45
Toamasina,-18.1667,49.3833,292.03,72,0,1.23
San Patricio,28.017,-97.5169,305.12,49,95,6.12
Pisco,-13.7,-76.2167,293.18,60,0,7.72
Shangzhi,45.2167,127.9667,273.35,78,43,2.92
Kokemäki,61.2565,22.3564,283.03,84,63,5.87
Vanavara,60.34,102.2797,276.22,97,98,3.26
Brighton,50.8284,-0.1395,284.57,80,2,2.68
Muli,2.9167,73.5667,300.67,79,49,8.73
Tougue,11.4667,-11.6,293.45,89,7,0.57
Tucuruí,-3.7661,-49.6725,308.49,33,27,2.68
Hasaki,35.7333,140.8333,296.6,70,97,12.15
Lüderitz,-26.6481,15.1594,288.91,88,64,1.86
Carutapera,-1.195,-46.02,301.72,68,63,4.41
Avera,33.194,-82.5271,299.88,51,73,2.28
Senanga,-16.1167,23.2667,294.16,20,0,2.61
São Filipe,14.8961,-24.4956,299.14,76,54,3.29
Katsuura,35.1333,140.3,295.09,69,93,11.64
Mandan,46.8267,-100.8896,297.8,49,0,7.2
Buala,-8.145,159.5921,299.81,72,9,1.07
Urubichá,-15.3833,-62.95,305.09,41,96,1.03
San Vicente,-26.6167,-54.1333,287.19,100,100,0.82
Roald,62.5833,6.1333,282.54,76,75,9.26
Chapais,49.7834,-74.8492,274.94,82,100,4.55
Port Macquarie,-31.4333,152.9167,287.53,78,100,1.98
Fortuna,40.5982,-124.1573,286.66,100,100,6.69
Kumul,42.8,93.45,284.86,22,9,5.63
Piaçabuçu,-10.4056,-36.4344,298.66,73,89,4.17
Wajima,37.4,136.9,290.68,63,96,13.62
Seddon,-37.8068,144.8916,283.57,85,0,3.6
Tranås,58.0372,14.9782,282.25,83,100,4.21
Kilindoni,-7.9139,39.6668,297.53,71,5,5.37
Rocha,-34.4833,-54.3333,286.55,57,61,5.14
Alamosa,37.4695,-105.87,291.14,25,0,3.09
São José da Coroa Grande,-8.8978,-35.1478,298.45,76,61,4.43
Ust-Nera,64.5667,143.2,260.69,97,96,1.48
Faya,18.3851,42.4509,291.44,31,11,3.92
Preobrazheniye,42.9019,133.9064,281.19,87,20,4.05
Perth,-31.9333,115.8333,281.5,92,0,0.0
Banda Aceh,5.5577,95.3222,298.76,83,100,4.42
Te Anau,-45.4167,167.7167,282.49,86,89,1.5
Buenos Aires,-34.6132,-58.3772,293.14,51,0,5.14
Araouane,18.9048,-3.5265,308.48,13,17,1.83
Inta,66.0317,60.1659,277.11,95,100,9.94
Vardø,70.3705,31.1107,275.14,93,0,1.03
Gemena,3.25,19.7667,293.29,92,59,0.61
Pio XII,-3.8325,-45.1525,306.02,40,91,1.9
Limbe,4.0242,9.2149,298.03,91,100,1.9
Saint-Pierre,-21.3393,55.4781,294.97,73,75,1.03
Palmer,42.1584,-72.3287,291.8,64,75,3.09
Dubbo,-32.25,148.6167,284.22,87,100,5.14
Ribeira Grande,38.5167,-28.7,296.37,83,20,3.6
Raudeberg,61.9875,5.1352,281.52,68,85,13.08
Oktyabr'skiy,54.4815,53.471,283.15,58,100,1.37
Marshfield,44.6689,-90.1718,291.12,48,0,3.6
Bulungu,-4.55,18.6,296.13,77,88,1.04
Saldanha,-33.0117,17.9442,289.98,85,100,0.19
Zambezi,-13.5432,23.1047,294.58,23,85,2.63
Athabasca,54.7169,-113.2854,293.16,35,100,5.87
Pacific Grove,36.6177,-121.9166,296.05,91,75,3.6
Tamale,9.4008,-0.8393,299.8,73,100,2.84
Isangel,-19.55,169.2667,297.16,75,100,6.14
Caucayá,-0.1934,-74.7819,303.0,56,98,1.65
Lubao,14.9167,120.55,298.99,88,16,0.87
Pyn U Lwin,22.0333,96.4667,290.49,92,100,1.28
Egvekinot,66.3167,-179.1667,262.27,70,66,2.9
Naberera,-4.2,36.9333,289.29,69,66,4.78
Kimbe,-5.5502,150.1429,296.26,90,73,1.66
Vila,42.0304,-8.1588,285.76,92,8,1.03
Praia da Vitória,38.7333,-27.0667,296.35,89,59,3.68
Todos Santos,23.45,-110.2167,307.21,77,0,6.17
Iqaluit,63.7506,-68.5145,268.03,77,100,1.05
San Luis,-33.295,-66.3356,293.81,16,30,5.29
Vestmannaeyjar,63.4427,-20.2734,276.79,57,100,0.92
Saint George,37.1041,-113.5841,301.45,27,0,1.79
Henties Bay,-22.116,14.2845,289.16,91,100,1.64
Keetmanshoop,-26.5833,18.1333,301.72,13,93,1.71
Talpa,28.8257,-111.6257,306.47,41,0,1.88
Namtsy,62.7161,129.6658,269.52,96,96,2.62
Coyhaique,-45.5752,-72.0662,285.12,50,75,4.63
Ixtapa,20.7,-105.2,304.94,62,0,3.6
Yārāda,17.65,83.2667,299.33,100,75,1.03
Kalmunai,7.4167,81.8167,298.79,84,93,0.35
Puerto Madryn,-42.7692,-65.0385,293.25,25,3,9.88
Dunedin,-45.8742,170.5036,283.6,72,100,7.15
Skjervøy,70.0311,20.9714,282.15,79,100,3.95
Koryazhma,61.3143,47.1691,277.65,89,8,3.31
Port Shepstone,-30.7414,30.455,293.96,92,66,8.67
Assiut,27.181,31.1837,297.24,44,0,4.5
Kruisfontein,-34.0033,24.7314,291.07,83,99,1.23
Tynda,55.1667,124.7167,268.86,89,14,1.26
Kachīry,53.0675,76.1036,281.27,64,34,5.74
Torbay,47.6666,-52.7314,284.97,58,6,3.58
Upata,8.0086,-62.3989,300.66,69,88,2.07
Anadyr,64.75,177.4833,266.2,85,68,6.88
Bonnyville,54.2668,-110.735,293.77,27,98,5.87
Cap Malheureux,-19.9842,57.6142,294.52,71,11,1.34
Kirovsk,48.6375,38.6428,283.65,91,94,3.45
Samarai,-10.6167,150.6667,300.17,78,26,4.67
Sena Madureira,-9.0656,-68.6569,303.66,52,92,2.02
Viedma,-40.8135,-62.9967,294.57,17,0,6.29
Cardston,49.2,-113.3019,293.39,29,95,9.18
Fairbanks,64.8378,-147.7164,273.2,89,40,0.0
Mogadishu,2.0371,45.3438,298.32,82,6,7.54
Sioux Lookout,50.1001,-91.917,287.18,37,91,5.11
Lander,42.833,-108.7307,296.6,20,0,2.57
Hamilton,39.1834,-84.5333,297.4,37,0,4.12
East London,-33.0153,27.9116,293.43,82,100,4.32
Ayagoz,47.9714,80.4392,274.48,88,7,2.01
Tautira,-17.7333,-149.15,297.64,79,29,6.2
Ellwangen,48.9616,10.1317,287.31,81,98,1.34
Nishihara,26.1842,127.7558,295.75,56,40,10.8
Guarujá,-23.9931,-46.2564,294.76,26,100,0.89
Atar,20.5169,-13.0499,308.42,20,85,3.18
Alofi,-19.0595,-169.9187,299.09,89,75,4.63
Emet,39.343,29.2585,285.27,60,7,1.98
Dumas,35.8656,-101.9732,295.23,46,0,5.14
Lodja,-3.4833,23.4333,294.79,80,98,0.88
Batticaloa,7.7102,81.6924,298.86,83,51,0.74
Flinders,-34.5833,150.8552,285.58,89,90,1.79
Puerto Quijarro,-17.7833,-57.7667,304.07,46,96,2.9
Tual,-5.6667,132.75,301.41,76,98,5.81
Baykit,61.67,96.37,277.74,99,100,2.16
Young,-32.6833,-57.6333,291.71,36,4,5.57
Verkh-Usugli,52.7,115.1667,273.65,61,96,0.91
Puerto Baquerizo Moreno,-0.9,-89.6,294.7,73,75,7.2
Kamaishi,39.2667,141.8833,288.73,86,100,1.91
Marzuq,14.4,46.4667,296.14,49,22,0.89
Puerto Peñasco,31.3167,-113.5333,302.54,62,1,0.89
Omsukchan,62.5333,155.8,257.4,93,85,2.19
Padang,-0.9492,100.3543,298.13,83,99,1.42
Karakol,42.4907,78.3936,277.18,51,0,1.86
Geraldton,-28.7667,114.6,281.38,87,40,2.57
Hīt,33.6416,42.8251,298.11,34,3,3.71
Gulariyā,28.2333,81.3333,292.8,90,88,1.1
Shimoda,34.6667,138.95,291.54,67,100,9.96
Kassala,15.451,36.4,303.69,38,9,3.02
Qaanaaq,77.484,-69.3632,259.69,61,18,3.5
Bossangoa,6.4926,17.4552,295.2,91,100,1.09
Bhadrapur,26.544,88.0944,296.34,95,49,1.49
North Bend,43.4065,-124.2243,288.8,94,100,4.12
Riyadh,24.6877,46.7219,298.23,12,2,2.05
Muros,42.7762,-9.0603,289.35,95,99,2.33
Sosenskiy,54.059,35.9623,278.17,82,4,3.99
Port Blair,11.6667,92.75,298.92,82,100,1.5
College,64.8569,-147.8028,273.19,90,40,0.0
Blackwater,-23.5833,148.8833,290.59,89,83,4.12
Bon Accord,53.8335,-113.4187,291.48,56,100,5.63
Santiago del Estero,-27.7951,-64.2615,297.85,16,0,4.2
Barbosa Ferraz,-24.03,-52.0117,295.68,89,100,2.34
Māngrol,21.1167,70.1167,300.69,81,87,2.16
Ambovombe,-25.1667,46.0833,293.48,93,4,1.58
Mnogovershinnyy,53.9353,139.9242,271.95,90,99,1.35
Salalah,17.0151,54.0924,298.2,69,0,1.54
Darhan,49.4867,105.9228,276.71,48,100,0.66
Vernon,50.2581,-119.2691,297.76,27,52,4.48
Cherskiy,68.75,161.3,265.12,95,100,5.47
Pavlodar,52.3,76.95,280.04,65,0,2.0
Pombal,-6.7703,-37.8017,304.51,37,90,3.39
Beni,0.5,29.4667,290.22,99,100,0.64
Jumla,29.2747,82.1838,283.08,88,8,2.35
Hualmay,-11.0964,-77.6139,292.43,74,41,5.32
Lakatoro,-16.0999,167.4164,298.71,83,100,5.16
La Sarre,48.8002,-79.1996,280.48,51,58,5.07
Sítio Novo do Tocantins,-5.5183,-47.4611,306.12,38,74,4.05
Constitución,-35.3333,-72.4167,288.0,58,1,5.41
Ojojona,13.9339,-87.2958,294.76,73,75,3.6
Valparaíso,-33.0393,-71.6273,287.95,90,75,4.63
San Quintín,30.4833,-115.95,295.77,73,8,5.89
Cabo Rojo,18.0866,-67.1457,303.85,73,64,2.68
Bara,10.3744,10.7288,299.7,63,92,3.12
Srednekolymsk,67.45,153.6833,264.37,95,67,4.03
Deep River,46.1001,-77.4995,284.23,38,58,2.5
Aasiaat,68.7098,-52.8699,269.02,77,100,5.03
Manado,1.487,124.8455,296.58,100,40,0.51
Nuuk,64.1835,-51.7216,277.49,70,100,2.57
Ambon City,-3.6954,128.1814,297.23,100,40,1.54
Balarāmpur,23.1167,86.2167,297.1,88,60,2.26
Genhe,50.7833,121.5167,270.53,66,4,0.63
Grindavik,63.8424,-22.4338,276.41,70,100,6.17
Upington,-28.4478,21.2561,303.36,9,100,5.14
Beloha,-25.1667,45.05,292.29,97,14,1.98
Contamana,-7.3333,-75.0167,309.05,31,95,1.66
Pangody,65.85,74.4859,277.09,87,100,6.86
Humaitá,-7.5061,-63.0208,309.81,30,89,2.32
Darnah,32.767,22.6367,294.93,71,0,4.38
San Jose,37.3394,-121.895,303.2,53,20,3.09
Najrān,17.4924,44.1277,294.31,27,0,1.1
Sept-Îles,50.2001,-66.3821,281.51,59,100,3.09
Kulaman,6.4594,124.0892,298.39,86,7,1.03
Kongolo,-5.3833,27.0,296.44,73,100,1.37
Riviere-au-Renard,48.9957,-64.3971,281.31,64,94,3.37
Lanzhou,36.0564,103.7922,283.57,37,0,0.43
Eirunepé,-6.6603,-69.8736,308.05,38,32,2.09
Dhārchula,29.85,80.5333,289.21,80,27,3.17
Byron Bay,-28.65,153.6167,287.99,70,89,5.23
Tessalit,20.1986,1.0114,305.38,14,85,4.95
Aswān,24.0934,32.907,300.46,27,0,6.46
Whitehorse,60.7161,-135.0538,279.83,57,75,1.34
Zapolyarnyy,69.4154,30.8136,274.75,94,84,3.96
Dayong,25.0209,118.2898,288.25,69,5,1.78
Husavik,66.0449,-17.3389,268.81,89,90,3.99
Oberá,-27.4871,-55.1199,284.79,100,100,1.18
Colares,38.7992,-9.4469,292.46,96,75,7.6
Dawlatabad,36.4141,64.9053,287.71,22,0,0.55
Ust'-Uda,54.1742,103.0304,277.76,95,100,1.38
Tura,25.5198,90.2201,295.19,96,91,1.76
Kortkeros,61.8106,51.5806,277.15,88,4,3.75
Bessemer,33.4018,-86.9544,299.18,29,0,5.14
Poum,-20.2333,164.0167,297.96,73,100,9.42
Kenai,60.5544,-151.2583,277.09,76,100,4.12
Hambantota,6.1241,81.1185,298.92,84,100,5.63
Jadu,31.953,12.0261,296.8,28,65,3.21
Grand Forks,47.9417,-97.4337,293.11,34,0,7.72
Meulaboh,4.1363,96.1285,297.41,89,100,1.86
Władysławowo,54.7909,18.4009,285.89,53,100,8.11
George Town,5.4112,100.3354,300.5,82,20,0.0
Namatanai,-3.6667,152.4333,297.92,70,6,2.04
Provincia di Genova,44.5,9.0667,288.16,85,100,2.68
Nemuro,43.3236,145.575,289.25,89,100,4.23
Ogulin,45.2661,15.2286,282.38,91,68,1.1
Bireun,5.203,96.7009,298.45,82,99,0.84
Ochakiv,46.6128,31.5498,285.85,57,2,6.65
Camocim,-2.9022,-40.8411,302.35,60,59,9.01
Mataró,41.5421,2.4445,294.75,84,100,2.38
Bathsheba,13.2167,-59.5167,303.49,74,40,8.23
Saquena,-4.6667,-73.5167,305.29,52,88,1.09
Massaguet,12.4755,15.4365,304.11,44,28,3.56
Brønnøysund,65.4625,12.1997,283.15,76,75,10.29
Shache,38.4167,77.2406,292.43,24,100,1.92
Deputatsky,69.3,139.9,256.62,96,61,3.15
Kenitra,34.261,-6.5802,293.57,84,100,2.63
Changli,39.7042,119.1506,280.3,35,0,1.71
Channel-Port aux Basques,47.5702,-59.1367,281.71,64,51,7.95
Åmot,59.5714,7.9877,278.02,89,30,2.58
Itamaracá,-7.7478,-34.8256,300.18,72,7,5.08
Praxédis Guerrero,31.3667,-106.0167,294.85,42,1,2.89
Provideniya,64.3833,-173.3,272.53,63,24,4.45
Karratha,-20.7377,116.8463,297.78,29,50,4.07
Hanna,51.6334,-111.9018,296.96,22,72,4.47
Christiana,-27.914,25.1611,297.27,24,97,5.35
Puerto Escondido,15.85,-97.0667,303.61,58,40,4.12
Nador,35.174,-2.9287,294.29,88,0,1.54
Borisoglebsk,51.3671,42.0849,282.8,94,100,4.73
Milanówek,52.1188,20.6716,284.77,92,34,5.78
Kahului,20.8947,-156.47,304.16,71,40,4.12
Omboué,-1.5746,9.2618,298.27,89,100,2.51
Mount Gambier,-37.8333,140.7667,286.77,53,100,5.49
Panama City,8.9936,-79.5197,304.34,71,40,4.12
Maceió,-9.6658,-35.7353,299.84,73,40,6.69
Oddur,4.1213,43.8894,296.14,73,75,7.29
Novy Urengoy,66.0833,76.6333,277.66,91,100,6.57
Makakilo City,21.3469,-158.0858,301.82,63,0,4.12
Ürümqi,43.801,87.6005,282.68,54,0,2.0
Great Falls,47.5002,-111.3008,295.74,32,0,10.29
Kollo,13.3043,2.339,303.39,37,13,3.95
Dingle,10.9995,122.6711,296.89,92,62,0.9
Crossville,35.949,-85.0269,292.84,34,0,3.6
Sur,22.5667,59.5289,300.68,39,24,3.8
Martapura,-3.4167,114.85,297.2,100,100,2.06
Muroto-misakicho,33.2833,134.15,291.26,59,100,7.11
Mersing,2.4312,103.8405,297.61,85,97,2.45
Kristianstad,56.0313,14.1524,284.46,86,100,3.6
Guerrero Negro,27.9769,-114.0611,297.43,68,20,6.3
Carmarthen,51.8555,-4.3054,283.09,93,20,2.06
Nouadhibou,20.931,-17.0347,296.14,78,16,5.66
Nioro,13.35,-15.75,299.61,81,100,1.04
Maiduguri,11.8464,13.1603,301.98,41,62,3.1
Lagoa,39.05,-27.9833,294.43,86,100,3.4
Qui Nhon,13.7667,109.2333,298.25,91,100,7.36
Lázaro Cárdenas,17.9583,-102.2,304.69,57,100,3.33
Bouna,9.2667,-3.0,298.87,73,78,2.24
Tromsø,69.6496,18.957,281.14,87,20,1.03
Kasongo-Lunda,-6.4667,16.8167,295.25,74,24,0.84
Antalaha,-14.9003,50.2788,292.77,87,68,3.04
Yerofey Pavlovich,53.9667,121.9667,271.86,79,6,1.27
Severomorsk,69.0689,33.4162,279.37,92,38,3.33
Hanmer Springs,-42.5167,172.8167,285.05,54,67,2.69
